model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
StandardModel,"[[1, 2], [3, 6, 2], [-4, -1], [6, -2, 3], [-5, 1], [-6, 2], [5, -3, 6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.38326004697648464,13,2.230769230769231,0.19230769230769232,{2},[],"{5, -1, -6, -4, -3, -2}",6,0,1,0,False,,"{2, 5, 6, -4, -3, -1}",6,1,0,True,True,1,[set()],0.0,"{-4, -3}","{2, 5, 6, -4, -3, -1}","[{-4, -3}]","[0, 0.9458333333333332, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111]",True,4,2,2,0,0,4,[1],"[{5, -1, -6, -4, -3, -2}, {2, 5, 6, -4, -3, -1}, {2, 5, 6, -4, -3, -1}]","[{-4, -3}, {-4, -3}, {-4, -3}]",6,"{({-4}, {2, 5, -4, -3, -1}), ({-4}, {-4, 5, -1, -2}), ({-4}, {2, 5, -6, -4, -1})}"
StandardModel,"[[1, 2], [3, 6, 2], [-4, -1], [6, -2, 3], [-5, 1], [-6, 2], [5, -3, 6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.38326004697648464,13,2.230769230769231,0.19230769230769232,{2},[],"{4, -1, -6, -5, -3, -2}",6,0,1,0,False,,"{1, 2, 4, -6, -5, -3}",6,1,0,True,True,1,[set()],0.0,"{-6, -3}","{1, 2, 4, -6, -5, -3}","[{-6, -3}]","[0, 0.9458333333333332, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111]",True,4,2,2,0,0,4,[],"[{4, -1, -6, -5, -3, -2}, {1, 2, 4, -6, -5, -3}, {1, 2, 4, -6, -5, -3}]","[{-6, -3}, {-6, -3}, {-6, -3}]",6,"{({-6, -3}, {1, 2, 4, -6, -5, -3})}"
StandardModel,"[[6, -2], [5, -2], [-4, 2], [1, -3, 6], [1, 2], [-3, 5], [-1, 6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.6130119841854397,5,2.076923076923077,0.07692307692307693,set(),[],"{5, -1, -6, -4, -3, -2}",6,0,0,0,False,,"{4, 5, 6, -1, -3, -2}",6,0,0,True,True,1,[set()],0.0,{-3},"{4, 5, 6, -1, -3, -2}",[{-3}],"[0, 0.9611111111111111, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,4,2,2,0,0,4,[],"[{5, -1, -6, -4, -3, -2}, {4, 5, 6, -1, -3, -2}, {4, 5, 6, -1, -3, -2}]","[{-3}, {-3}, {-3}]",6,"{({-3}, {4, 5, 6, -1, -3, -2})}"
StandardModel,"[[6, -2], [5, -2], [-4, 2], [1, -3, 6], [1, 2], [-3, 5], [-1, 6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.6130119841854397,5,2.076923076923077,0.07692307692307693,set(),[],"{4, -1, -6, -5, -3, -2}",6,0,0,0,False,,"{4, 5, 6, -1, -3, -2}",6,0,0,True,True,1,[set()],0.0,{-3},"{4, 5, 6, -1, -3, -2}",[{-3}],"[0, 0.9611111111111111, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889, 0.9888888888888889]",True,4,2,2,0,0,4,[],"[{4, -1, -6, -5, -3, -2}, {4, 5, 6, -1, -3, -2}, {4, 5, 6, -1, -3, -2}]","[{-3}, {-3}, {-3}]",6,"{({-3}, {4, 5, 6, -1, -3, -2})}"
StandardModel,"[[-2, -3, -6], [1, 5, 3], [1, -5, 2], [-6, -3, -2], [-4, 3], [6, -2, -5], [-5, -1, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2679470962035399,21,2.4615384615384617,0.2692307692307692,set(),[],"{5, -1, -6, -4, -3, -2}",6,0,0,0,False,,"{4, -1, -6, -5, -3, -2}",6,0,0,True,True,1,[set()],0.0,"{-5, -2}","{4, -1, -6, -5, -3, -2}","[{-6, -5, -3}, {-6, -5, -1}, {-5, -2}]","[0, 0.9458333333333332, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111]",True,4,2,2,0,0,4,[],"[{5, -1, -6, -4, -3, -2}, {4, -1, -6, -5, -3, -2}, {4, -1, -6, -5, -3, -2}]","[{-5, -2}, {-5, -2}, {-5, -2}]",6,"{({-5, -2}, {4, -1, -6, -5, -3, -2})}"
StandardModel,"[[-2, -3, -6], [1, 5, 3], [1, -5, 2], [-6, -3, -2], [-4, 3], [6, -2, -5], [-5, -1, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2679470962035399,21,2.4615384615384617,0.2692307692307692,set(),[],"{4, -1, -6, -5, -3, -2}",6,0,0,1,True,True,"{4, -1, -6, -5, -3, -2}",6,0,0,True,True,1,[set()],0.0,"{-5, -2}","{4, -1, -6, -5, -3, -2}","[{-6, -5, -3}, {-6, -5, -1}, {-5, -2}]","[0, 0.9847222222222222, 0.9847222222222222, 0.9847222222222222]",True,0,0,0,0,0,6,[],"[{4, -1, -6, -5, -3, -2}, {4, -1, -6, -5, -3, -2}]","[{-5, -2}, {-5, -2}]",4,"{({-5, -2}, {4, -1, -6, -5, -3, -2})}"
StandardModel,"[[6, -4], [-5, -3, -4], [2, -1, -5], [-6, 4, -2], [-4, -2, 3], [4, -1, 3], [5, 1, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2679470962035399,21,2.4615384615384617,0.2692307692307692,set(),[],"{5, -1, -6, -4, -3, -2}",6,0,0,0,False,,"{1, 4, 5, -6, -3, -2}",6,0,0,True,True,1,[set()],0.0,"{-3, 5}","{1, 4, 5, -6, -3, -2}","[{4, -3}, {-3, 5}, {-3, -2}]","[0, 0.9458333333333332, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111]",True,4,2,2,0,0,4,[1],"[{5, -1, -6, -4, -3, -2}, {1, 4, 5, -6, -3, -2}, {1, 4, 5, -6, -3, -2}]","[{-3, 5}, {-3, 5}, {-3, 5}]",6,"{({-3, -2}, {1, 4, 5, -6, -3, -2}), ({4, -3}, {1, 4, 5, -6, -3, -2}), ({-3, 5}, {1, 4, 5, -6, -3, -2})}"
StandardModel,"[[6, -4], [-5, -3, -4], [2, -1, -5], [-6, 4, -2], [-4, -2, 3], [4, -1, 3], [5, 1, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.2679470962035399,21,2.4615384615384617,0.2692307692307692,set(),[],"{4, -1, -6, -5, -3, -2}",6,0,0,0,False,,"{1, 4, 5, -6, -3, -2}",6,0,0,True,True,1,[set()],0.0,"{-3, 5}","{1, 4, 5, -6, -3, -2}","[{4, -3}, {-3, 5}, {-3, -2}]","[0, 0.9458333333333332, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111]",True,4,2,2,0,0,4,[1],"[{4, -1, -6, -5, -3, -2}, {1, 4, 5, -6, -3, -2}, {1, 4, 5, -6, -3, -2}]","[{-3, 5}, {-3, 5}, {-3, 5}]",6,"{({4}, {-6, -5, 4, -2}), ({4}, {-6, 4, -1, -2}), ({4}, {-6, 4, -3, -2})}"
StandardModel,"[[-3, 5, -2], [-6, 4, 2], [1, 6], [6, 2], [1, 2, 4], [-4, -6, -2], [4, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.38326004697648464,13,2.3076923076923075,0.23076923076923075,set(),[],"{5, -1, -6, -4, -3, -2}",6,0,0,1,True,True,"{5, -1, -6, -4, -3, -2}",6,0,0,True,True,1,[set()],0.0,"{-3, 5}","{5, -1, -6, -4, -3, -2}","[{-3, 5}]","[0, 0.9847222222222222, 0.9847222222222222, 0.9847222222222222]",True,0,0,0,0,0,6,[],"[{5, -1, -6, -4, -3, -2}, {5, -1, -6, -4, -3, -2}]","[{-3, 5}, {-3, 5}]",4,"{({-2}, {-6, -4, -1, -2})}"
StandardModel,"[[-3, 5, -2], [-6, 4, 2], [1, 6], [6, 2], [1, 2, 4], [-4, -6, -2], [4, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.38326004697648464,13,2.3076923076923075,0.23076923076923075,set(),[],"{4, -1, -6, -5, -3, -2}",6,0,0,0,False,,"{5, -1, -6, -4, -3, -2}",6,0,0,True,True,1,[set()],0.0,"{-3, 5}","{5, -1, -6, -4, -3, -2}","[{-3, 5}]","[0, 0.9458333333333332, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111, 0.9736111111111111]",True,4,2,2,0,0,4,[],"[{4, -1, -6, -5, -3, -2}, {5, -1, -6, -4, -3, -2}, {5, -1, -6, -4, -3, -2}]","[{-3, 5}, {-3, 5}, {-3, 5}]",6,"{({-2}, {-6, 4, -1, -2}), ({-2}, {-1, -6, -4, -3, -2}), ({-2}, {-1, -6, -5, -4, -2})}"
StandardModel,"[[-1, 6], [3, -1], [2, 4, -3], [-5, 2], [-4, -5], [6, -3, 4], [-1, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.5,8,2.1538461538461537,0.14102564102564102,set(),[],"{5, -1, -6, -4, -3, -2}",6,0,0,0,False,,"{1, 4, 5, -6, -3, -2}",6,0,0,True,True,1,[{-6}],1.0,{-2},"{1, 4, 5, -3, -2}",[{-2}],"[0, 0.9458333333333332, 0.9736111111111111, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",True,4,2,2,0,0,4,[],"[{5, -1, -6, -4, -3, -2}, {1, 4, 5, -6, -3, -2}, {1, 4, 5, -6, -3, -2}]","[{-6, -2}, {-2}, {-2}]",6,"{({-2}, {1, 5, -4, -3, -2}), ({-2}, {4, 5, -1, -3, -2}), ({-2}, {1, 4, 5, -6, -3, -2})}"
StandardModel,"[[-1, 6], [3, -1], [2, 4, -3], [-5, 2], [-4, -5], [6, -3, 4], [-1, -4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6]]",6,13,0.5,8,2.1538461538461537,0.14102564102564102,set(),[],"{4, -1, -6, -5, -3, -2}",6,0,0,0,False,,"{1, 4, 5, -6, -3, -2}",6,0,0,True,True,1,[{-6}],1.0,{-2},"{1, 4, 5, -3, -2}",[{-2}],"[0, 0.9458333333333332, 0.9736111111111111, 0.9791666666666666, 0.9791666666666666, 0.9791666666666666]",True,4,2,2,0,0,4,[],"[{4, -1, -6, -5, -3, -2}, {1, 4, 5, -6, -3, -2}, {1, 4, 5, -6, -3, -2}]","[{-6, -2}, {-2}, {-2}]",6,"{({-2}, {4, 5, -1, -3, -2}), ({-2}, {1, 4, -5, -3, -2}), ({-2}, {1, 4, 5, -6, -3, -2})}"
