model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
LocalStandardReflectiveEquilibrium,"[[1, -7], [-6, 1]]",7,2,0.14285714285714285,64,2,0,set(),"[(-6, 1)]","{1, -7, -6, -4, -3}",5,0,0,4,True,True,"{1, -6, -7}",3,0,0,True,True,16,[set()],0.0,{-6},"{1, -6, -7}",[{-6}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9601734693877553, 0.9797653061224489, 0.9797653061224489, 0.9908163265306122, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,"[2, 4]","[{1, -7, -6, -4, -3}, {1, -6, -4, -3}, {1, -6, -4}, {1, -6, -4, -7}, {1, -6, -7}, {1, -6, -7}]","[set(), {-6}, {-6}, {-6}, {-6}, {-6}]",12,
LocalStandardReflectiveEquilibrium,"[[1, -7], [-6, 1]]",7,2,0.14285714285714285,64,2,0,set(),"[(-6, 1)]","{1, -6}",2,0,0,16,True,False,"{1, -6, -7}",3,0,0,True,True,16,[set()],0.0,{-6},"{1, -6, -7}",[{-6}],"[0, 0.4214285714285714, 0.4408163265306122, 0.9953877551020409, 0.9993571428571428, 0.9993571428571428, 1.0, 1.0, 1.0, 1.0]",True,1,1,0,1,0,6,[2],"[{1, -6}, {-6}, {1, -6}, {1, -6, -7}, {1, -6, -7}]","[set(), {-6}, {-6}, {-6}, {-6}]",10,
LocalStandardReflectiveEquilibrium,"[[2, -6], [-4, 2]]",7,2,0.14285714285714285,64,2,0,set(),"[(-4, 1)]","{1, -7, -6, -4, -3}",5,0,0,2,True,False,"{1, 2, -6, -4}",4,0,0,True,True,8,[{1}],1.0,{-4},"{2, -6, -4}",[{-4}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9601734693877553, 0.9797653061224489, 0.9797653061224489, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,3,3,0,1,2,4,"[2, 4]","[{1, -7, -6, -4, -3}, {1, -6, -4, -3}, {1, -6, -4}, {1, 2, -6, -4}, {1, 2, -6, -4}]","[set(), {-4}, {-4}, {-4}, {-4}]",10,
LocalStandardReflectiveEquilibrium,"[[2, -6], [-4, 2]]",7,2,0.14285714285714285,64,2,0,set(),"[(-4, 1)]","{1, -6}",2,0,0,24,True,True,{-6},1,0,0,True,True,48,[set()],0.0,{-6},{-6},"[{2}, {-4}, {-6}]","[0, 0.4214285714285714, 0.4408163265306122, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[2],"[{1, -6}, {-6}, {-6}]","[set(), {-6}, {-6}]",6,
LocalStandardReflectiveEquilibrium,"[[-3, -5], [-1, -3]]",7,2,0.14285714285714285,64,2,0,set(),"[(-1, 1)]","{1, -7, -6, -4, -3}",5,0,0,2,True,False,"{1, -4}",2,0,0,True,True,24,[{-4}],1.0,{1},{1},"[{3}, {5}, {1}]","[0, 0.2714285714285714, 0.3336734693877551, 0.9336734693877551, 0.963265306122449, 0.963265306122449, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673]",True,3,3,0,0,3,4,"[2, 3, 4, 6]","[{1, -7, -6, -4, -3}, {1, -6, -4, -7}, {1, -4, -7}, {1, -4}, {1, -4}]","[set(), {1}, {1}, {1}, {1}]",10,
LocalStandardReflectiveEquilibrium,"[[-3, -5], [-1, -3]]",7,2,0.14285714285714285,64,2,0,set(),"[(-1, 1)]","{1, -6}",2,0,0,24,True,True,{1},1,0,0,True,True,48,[set()],0.0,{1},{1},"[{3}, {5}, {1}]","[0, 0.4214285714285714, 0.4408163265306122, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[2],"[{1, -6}, {1}, {1}]","[set(), {1}, {1}]",6,
LocalStandardReflectiveEquilibrium,"[[1, -6], [-7, 1]]",7,2,0.14285714285714285,64,2,0,set(),"[(-7, 1)]","{1, -7, -6, -4, -3}",5,0,0,4,True,True,"{1, -6, -7}",3,0,0,True,True,16,[set()],0.0,{-7},"{1, -6, -7}",[{-7}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[2],"[{1, -7, -6, -4, -3}, {1, -6, -4, -7}, {1, -6, -7}, {1, -6, -7}]","[set(), {-7}, {-7}, {-7}]",8,
LocalStandardReflectiveEquilibrium,"[[1, -6], [-7, 1]]",7,2,0.14285714285714285,64,2,0,set(),"[(-7, 1)]","{1, -6}",2,0,0,32,True,True,"{1, -6}",2,0,0,True,True,32,[set()],0.0,{1},"{1, -6}","[{1}, {-7}]","[0, 0.4214285714285714, 0.4408163265306122, 0.9973163265306122, 1.0, 1.0, 1.0, 1.0]",True,0,0,0,0,0,7,[2],"[{1, -6}, {1}, {1, -6}, {1, -6}]","[set(), {1}, {1}, {1}]",8,
LocalStandardReflectiveEquilibrium,"[[-7, -4], [1, -4]]",7,2,0.09686741501609106,80,2,0,set(),"[(-7, 1), (1, 1)]","{1, -7, -6, -4, -3}",5,0,0,4,True,True,"{1, -4, -7}",3,0,0,True,True,16,[{-7}],1.0,{1},"{1, -4}",[{1}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9693877551020409, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,2,2,0,0,2,5,"[2, 3, 4]","[{1, -7, -6, -4, -3}, {1, -4, -3, -7}, {1, -4, -7}, {1, -4, -7}]","[set(), {1}, {1}, {1}]",8,
LocalStandardReflectiveEquilibrium,"[[-7, -4], [1, -4]]",7,2,0.09686741501609106,80,2,0,set(),"[(-7, 1), (1, 1)]","{1, -6}",2,0,0,16,True,False,{-6},1,0,0,True,True,40,[set()],0.0,{-6},{-6},[{-6}],"[0, 0.4214285714285714, 0.4408163265306122, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[2],"[{1, -6}, {-6}, {-6}]","[set(), {-6}, {-6}]",6,
LocalStandardReflectiveEquilibrium,"[[-7, -4], [6, 7]]",7,2,0.09686741501609106,80,2,0,set(),"[(6, 1)]","{1, -7, -6, -4, -3}",5,0,0,4,True,True,"{-7, -6, -4}",3,0,0,True,True,16,[set()],0.0,{-7},"{-7, -6, -4}",[{-7}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9601734693877553, 0.9797653061224489, 0.9797653061224489, 0.9908163265306122, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,"[2, 4]","[{1, -7, -6, -4, -3}, {1, -4, -3, -7}, {1, -4, -7}, {1, -6, -4, -7}, {-7, -6, -4}, {-7, -6, -4}]","[set(), {-7}, {-7}, {-7}, {-7}, {-7}]",12,
LocalStandardReflectiveEquilibrium,"[[-7, -4], [6, 7]]",7,2,0.09686741501609106,80,2,0,set(),"[(6, 1)]","{1, -6}",2,0,0,24,True,True,{1},1,0,0,True,True,40,[set()],0.0,{1},{1},[{1}],"[0, 0.4214285714285714, 0.4408163265306122, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[2],"[{1, -6}, {1}, {1}]","[set(), {1}, {1}]",6,
LocalStandardReflectiveEquilibrium,"[[-1, 6], [-4, -1]]",7,2,0.14285714285714285,64,2,0,set(),"[(-4, 1)]","{1, -7, -6, -4, -3}",5,0,0,0,False,,"{1, -6, -4}",3,0,0,,False,0,,,{-6},"{1, -6, 4}",[{-6}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9693877551020409, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",False,2,2,0,0,2,5,"[2, 4]","[{1, -7, -6, -4, -3}, {1, -6, -4, -3}, {1, -6, -4}, {1, -6, -4}]","[set(), {-6}, {-6}, {-6}]",8,
LocalStandardReflectiveEquilibrium,"[[-1, 6], [-4, -1]]",7,2,0.14285714285714285,64,2,0,set(),"[(-4, 1)]","{1, -6}",2,0,0,16,True,False,"{1, -6, 4}",3,0,0,True,True,16,[set()],0.0,{-6},"{1, -6, 4}",[{-6}],"[0, 0.4214285714285714, 0.4408163265306122, 0.9953877551020409, 0.9993571428571428, 0.9993571428571428, 1.0, 1.0, 1.0, 1.0]",True,1,1,0,1,0,6,[2],"[{1, -6}, {-6}, {1, -6}, {1, -6, 4}, {1, -6, 4}]","[set(), {-6}, {-6}, {-6}, {-6}]",10,
LocalStandardReflectiveEquilibrium,"[[-1, 2], [-4, 2]]",7,2,0.09686741501609106,80,2,0,set(),"[(-4, 1), (-1, 1)]","{1, -7, -6, -4, -3}",5,0,0,2,True,False,"{1, -3}",2,0,0,True,True,24,[{-3}],1.0,{1},{1},"[{1}, {-2}]","[0, 0.2714285714285714, 0.3336734693877551, 0.9336734693877551, 0.963265306122449, 0.963265306122449, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673]",True,3,3,0,0,3,4,"[2, 3, 4, 6]","[{1, -7, -6, -4, -3}, {1, -6, -4, -3}, {1, -6, -3}, {1, -3}, {1, -3}]","[set(), {1}, {1}, {1}, {1}]",10,
LocalStandardReflectiveEquilibrium,"[[-1, 2], [-4, 2]]",7,2,0.09686741501609106,80,2,0,set(),"[(-4, 1), (-1, 1)]","{1, -6}",2,0,0,24,True,True,{1},1,0,0,True,True,48,[set()],0.0,{1},{1},"[{1}, {-2}]","[0, 0.4214285714285714, 0.4408163265306122, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[2],"[{1, -6}, {1}, {1}]","[set(), {1}, {1}]",6,
LocalStandardReflectiveEquilibrium,"[[-3, -4], [5, -4]]",7,2,0.09686741501609106,80,2,0,set(),"[(5, 1), (-3, 1)]","{1, -7, -6, -4, -3}",5,0,0,4,True,True,"{1, -4, -3}",3,0,0,True,True,16,[{1}],1.0,{-3},"{-4, -3}",[{-3}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9693877551020409, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,2,2,0,0,2,5,"[2, 4]","[{1, -7, -6, -4, -3}, {1, -4, -3, -7}, {1, -4, -3}, {1, -4, -3}]","[set(), {-3}, {-3}, {-3}]",8,
LocalStandardReflectiveEquilibrium,"[[-3, -4], [5, -4]]",7,2,0.09686741501609106,80,2,0,set(),"[(5, 1), (-3, 1)]","{1, -6}",2,0,0,20,True,True,{1},1,0,0,True,True,40,[set()],0.0,{1},{1},[{1}],"[0, 0.4214285714285714, 0.4408163265306122, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[2],"[{1, -6}, {1}, {1}]","[set(), {1}, {1}]",6,
LocalStandardReflectiveEquilibrium,"[[1, -3], [-6, 1]]",7,2,0.14285714285714285,64,2,0,set(),"[(-6, 1)]","{1, -7, -6, -4, -3}",5,0,0,4,True,True,"{1, -3, -7}",3,0,0,True,True,16,[{-7}],1.0,{1},"{1, -3}","[{1}, {-6}]","[0, 0.2714285714285714, 0.3336734693877551, 0.9693877551020409, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,2,2,0,0,2,5,"[2, 4]","[{1, -7, -6, -4, -3}, {1, -4, -3, -7}, {1, -3, -7}, {1, -3, -7}]","[set(), {1}, {1}, {1}]",8,
LocalStandardReflectiveEquilibrium,"[[1, -3], [-6, 1]]",7,2,0.14285714285714285,64,2,0,set(),"[(-6, 1)]","{1, -6}",2,0,0,16,True,False,"{1, -6, -3}",3,0,0,True,True,16,[set()],0.0,{-6},"{1, -6, -3}",[{-6}],"[0, 0.4214285714285714, 0.4408163265306122, 0.9953877551020409, 0.9993571428571428, 0.9993571428571428, 1.0, 1.0, 1.0, 1.0]",True,1,1,0,1,0,6,[2],"[{1, -6}, {-6}, {1, -6}, {1, -6, -3}, {1, -6, -3}]","[set(), {-6}, {-6}, {-6}, {-6}]",10,
LocalStandardReflectiveEquilibrium,"[[-3, 2], [1, -3]]",7,2,0.14285714285714285,64,2,0,set(),"[(1, 1)]","{1, -7, -6, -4, -3}",5,0,0,2,True,False,"{-7, -6}",2,0,0,True,True,16,[{-7}],1.0,{-6},{-6},[{-6}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9336734693877551, 0.963265306122449, 0.963265306122449, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673]",True,3,3,0,0,3,4,"[2, 3, 4, 6]","[{1, -7, -6, -4, -3}, {1, -6, -4, -7}, {-7, -6, -4}, {-7, -6}, {-7, -6}]","[set(), {-6}, {-6}, {-6}, {-6}]",10,
LocalStandardReflectiveEquilibrium,"[[-3, 2], [1, -3]]",7,2,0.14285714285714285,64,2,0,set(),"[(1, 1)]","{1, -6}",2,0,0,8,True,False,{-6},1,0,0,True,True,32,[set()],0.0,{-6},{-6},[{-6}],"[0, 0.4214285714285714, 0.4408163265306122, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[2],"[{1, -6}, {-6}, {-6}]","[set(), {-6}, {-6}]",6,
LocalStandardReflectiveEquilibrium,"[[-4, -7], [-5, 4]]",7,2,0.09686741501609106,80,2,0,set(),"[(-5, 1)]","{1, -7, -6, -4, -3}",5,0,0,2,True,False,"{-7, -3, -4, 5}",4,0,0,True,True,8,[{-3}],1.0,{-4},"{-7, -4, 5}",[{-4}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9601734693877553, 0.9797653061224489, 0.9797653061224489, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,3,3,0,1,2,4,"[2, 4]","[{1, -7, -6, -4, -3}, {1, -4, -3, -7}, {-7, -4, -3}, {-7, -3, -4, 5}, {-7, -3, -4, 5}]","[set(), {-4}, {-4}, {-4}, {-4}]",10,
LocalStandardReflectiveEquilibrium,"[[-4, -7], [-5, 4]]",7,2,0.09686741501609106,80,2,0,set(),"[(-5, 1)]","{1, -6}",2,0,0,20,True,True,{-6},1,0,0,True,True,40,[set()],0.0,{-6},{-6},[{-6}],"[0, 0.4214285714285714, 0.4408163265306122, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[2],"[{1, -6}, {-6}, {-6}]","[set(), {-6}, {-6}]",6,
LocalStandardReflectiveEquilibrium,"[[-7, 2], [4, -7]]",7,2,0.14285714285714285,64,2,0,set(),"[(4, 1)]","{1, -7, -6, -4, -3}",5,0,0,2,True,False,"{-6, -3}",2,0,0,True,True,16,[{-6}],1.0,{-3},{-3},[{-3}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9336734693877551, 0.963265306122449, 0.963265306122449, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673]",True,3,3,0,0,3,4,"[2, 3, 4, 6]","[{1, -7, -6, -4, -3}, {-7, -6, -4, -3}, {-6, -4, -3}, {-6, -3}, {-6, -3}]","[set(), {-3}, {-3}, {-3}, {-3}]",10,
LocalStandardReflectiveEquilibrium,"[[-7, 2], [4, -7]]",7,2,0.14285714285714285,64,2,0,set(),"[(4, 1)]","{1, -6}",2,0,0,16,True,True,{-6},1,0,0,True,True,32,[set()],0.0,{-6},{-6},[{-6}],"[0, 0.4214285714285714, 0.4408163265306122, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[2],"[{1, -6}, {-6}, {-6}]","[set(), {-6}, {-6}]",6,
LocalStandardReflectiveEquilibrium,"[[-6, 3], [2, 6]]",7,2,0.09686741501609106,80,2,0,set(),"[(2, 1)]","{1, -7, -6, -4, -3}",5,0,0,0,False,,"{1, -3}",2,0,0,False,True,16,[{-3}],1.0,{1},{1},[{1}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9336734693877551, 0.963265306122449, 0.963265306122449, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673]",True,3,3,0,0,3,4,"[2, 3, 4, 6]","[{1, -7, -6, -4, -3}, {1, -6, -3, -7}, {1, -6, -3}, {1, -3}, {1, -3}]","[set(), {1}, {1}, {1}, {1}]",10,
LocalStandardReflectiveEquilibrium,"[[-6, 3], [2, 6]]",7,2,0.09686741501609106,80,2,0,set(),"[(2, 1)]","{1, -6}",2,0,0,8,True,False,"{-6, 3, -2}",3,0,0,True,True,16,[set()],0.0,{-6},"{-6, 3, -2}",[{-6}],"[0, 0.4214285714285714, 0.4408163265306122, 0.9953877551020409, 0.9973163265306122, 0.9973163265306122, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,3,3,0,2,1,4,"[2, 4]","[{1, -6}, {-6}, {-6, -2}, {-6, 3, -2}, {-6, 3, -2}]","[set(), {-6}, {-6}, {-6}, {-6}]",10,
LocalStandardReflectiveEquilibrium,"[[-7, 2], [-1, -2]]",7,2,0.14285714285714285,64,2,0,set(),"[(-7, 1), (-1, 1)]","{1, -7, -6, -4, -3}",5,0,0,2,True,False,"{1, 2, -3, -7}",4,0,0,True,True,8,[{-3}],1.0,{-7},"{1, 2, -7}",[{-7}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9601734693877553, 0.9797653061224489, 0.9797653061224489, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,3,3,0,1,2,4,"[2, 4]","[{1, -7, -6, -4, -3}, {1, -6, -3, -7}, {1, -3, -7}, {1, 2, -3, -7}, {1, 2, -3, -7}]","[set(), {-7}, {-7}, {-7}, {-7}]",10,
LocalStandardReflectiveEquilibrium,"[[-7, 2], [-1, -2]]",7,2,0.14285714285714285,64,2,0,set(),"[(-7, 1), (-1, 1)]","{1, -6}",2,0,0,24,True,True,{-6},1,0,0,True,True,32,[set()],0.0,{-6},{-6},[{-6}],"[0, 0.4214285714285714, 0.4408163265306122, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[2],"[{1, -6}, {-6}, {-6}]","[set(), {-6}, {-6}]",6,
