model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
StandardModel,"[[3, -5], [7, -6, -5], [-2, 7], [-4, -1, -2], [2, 3], [3, -6, 1], [-1, -3, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.3629383401946718,22,2.2857142857142856,0.2197802197802198,set(),[],"{4, -1}",2,0,0,3,True,False,{4},1,0,0,True,True,12,[set()],0,{4},{4},"[{4}, {2, -1}, {-7, -1}]","[0, 0.9928571428571428, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[],"[{4, -1}, {4}, {4}]","[{4}, {4}, {4}]",6,"{({-1}, {-5, 3, 6, -1}), ({4}, {4})}"
StandardModel,"[[3, -5], [7, -6, -5], [-2, 7], [-4, -1, -2], [2, 3], [3, -6, 1], [-1, -3, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.3629383401946718,22,2.2857142857142856,0.2197802197802198,set(),[],"{-6, 5, -2}",3,0,0,0,False,,"{1, 5, 6, 7, -3, -2}",6,0,0,True,True,2,[set()],0,{5},"{1, 5, 6, 7, -3, -2}",[{5}],"[0, 0.9742142857142857, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,5,4,1,3,0,3,[],"[{-6, 5, -2}, {1, 5, 6, 7, -3, -2}, {1, 5, 6, 7, -3, -2}]","[{5}, {5}, {5}]",6,"{({5}, {1, 5, 6, 7, -3, -2})}"
StandardModel,"[[1, -2, -4], [5, -6, 1], [-7, 3, 6], [-2, 3, -6], [2, 7, 3], [-7, -4], [-5, -3, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.26143928550824114,36,2.4285714285714284,0.26373626373626374,set(),[],"{4, -1}",2,0,0,5,True,False,{-1},1,0,0,True,True,16,[set()],0,{-1},{-1},"[{4, -2}, {4, -3}, {-1}]","[0, 0.9928571428571428, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[],"[{4, -1}, {-1}, {-1}]","[{-1}, {-1}, {-1}]",6,"{({4}, {4, 7}), ({-1}, {-1})}"
StandardModel,"[[1, -2, -4], [5, -6, 1], [-7, 3, 6], [-2, 3, -6], [2, 7, 3], [-7, -4], [-5, -3, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.26143928550824114,36,2.4285714285714284,0.26373626373626374,set(),[],"{-6, 5, -2}",3,0,0,3,True,False,{-6},1,0,0,True,True,15,[set()],0,{-6},{-6},"[{-6}, {3, -2}, {-5, -2}]","[0, 0.9714285714285714, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[1],"[{-6, 5, -2}, {-6}, {-6}]","[{-6}, {-6}, {-6}]",6,"{({5}, {5}), ({-6}, {-6}), ({-2}, {-2})}"
StandardModel,"[[4, -6], [-1, -5, -4], [-3, 1], [7, 4], [-2, 7], [-7, -1], [6, 4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.47136575455127255,13,2.0714285714285716,0.07142857142857142,{-6},[],"{4, -1}",2,0,0,3,True,False,"{-6, 4}",2,1,0,True,True,11,[set()],0,{4},"{-6, 4}","[{4}, {1}, {7}, {-2}, {-3}]","[0, 0.9879285714285714, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,2,2,0,1,1,5,[],"[{4, -1}, {-6, 4}, {-6, 4}]","[{4}, {4}, {4}]",6,"{({7}, {-6, 4, 7}), ({-1}, {-6, 3, -1}), ({-7}, {2, 3, -7, -6, -1}), ({1}, {1, -6, 4, 7}), ({-4}, {2, 3, -7, -6, -4, -1}), ({4}, {-6, 4}), ({-3}, {1, 4, 7, -6, -3}), ({-2}, {-6, 4, -2, 7})}"
StandardModel,"[[4, -6], [-1, -5, -4], [-3, 1], [7, 4], [-2, 7], [-7, -1], [6, 4], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.47136575455127255,13,2.0714285714285716,0.07142857142857142,{-6},[],"{-6, 5, -2}",3,1,0,3,True,False,"{-6, 5}",2,1,0,True,True,8,[set()],0,{5},"{-6, 5}","[{4, -1}, {-1, 7}, {-1, -2}, {-7, 4}, {5}]","[0, 0.9928571428571428, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[],"[{-6, 5, -2}, {-6, 5}, {-6, 5}]","[{5}, {5}, {5}]",6,"{({5}, {-6, 5}), ({-2}, {-6, 4, -2, 7})}"
StandardModel,"[[5, 7, -6], [4, -6], [2, 6], [1, -3, 4], [-7, 4], [-3, 6], [7, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.42857142857142855,16,2.142857142857143,0.13186813186813187,{3},[],"{4, -1}",2,0,0,4,True,False,"{3, -1}",2,1,0,True,True,8,[set()],0,{-1},"{3, -1}",[{-1}],"[0, 0.9879285714285714, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,2,2,0,1,1,5,[],"[{4, -1}, {3, -1}, {3, -1}]","[{-1}, {-1}, {-1}]",6,"{({-7}, {3, 4, -7, -6, -2}), ({-1}, {3, -1}), ({4}, {-6, 3, 4, -2})}"
StandardModel,"[[5, 7, -6], [4, -6], [2, 6], [1, -3, 4], [-7, 4], [-3, 6], [7, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.42857142857142855,16,2.142857142857143,0.13186813186813187,{3},[],"{-6, 5, -2}",3,0,0,6,True,False,"{-6, 3, 5, -2}",4,1,0,True,True,6,[set()],0,{5},"{-6, 3, 5, -2}",[{5}],"[0, 0.9993571428571428, 1.0, 1.0, 1.0, 1.0]",True,1,1,0,1,0,6,[],"[{-6, 5, -2}, {-6, 3, 5, -2}, {-6, 3, 5, -2}]","[{5}, {5}, {5}]",6,"{({5}, {-6, 3, 5, -2})}"
StandardModel,"[[3, -5], [4, 7, -5], [2, -4], [-6, 2], [1, 4], [1, -6], [-6, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.3931532123652021,19,2.0714285714285716,0.07142857142857142,{-1},[],"{4, -1}",2,1,0,5,True,False,"{4, -2, 6, -1}",4,1,0,True,True,5,[set()],0,{4},"{4, -2, 6, -1}",[{4}],"[0, 0.9974285714285714, 1.0, 1.0, 1.0, 1.0]",True,2,2,0,2,0,5,[],"[{4, -1}, {4, -2, 6, -1}, {4, -2, 6, -1}]","[{4}, {4}, {4}]",6,"{({4}, {4, -2, 6, -1})}"
StandardModel,"[[3, -5], [4, 7, -5], [2, -4], [-6, 2], [1, 4], [1, -6], [-6, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.3931532123652021,19,2.0714285714285716,0.07142857142857142,{-1},[],"{-6, 5, -2}",3,0,0,0,False,,"{-2, 6, -1}",3,1,0,True,True,11,[set()],0,{-2},"{-2, 6, -1}","[{4}, {-2}]","[0, 0.9622142857142858, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,4,3,1,1,1,4,[],"[{-6, 5, -2}, {-2, 6, -1}, {-2, 6, -1}]","[{-2}, {-2}, {-2}]",6,"{({4}, {4, -2, 6, -1}), ({5}, {-3, 5, -1, 6}), ({-2}, {-2, 6, -1}), ({-6}, {2, 3, -6, -5, -4, -1})}"
StandardModel,"[[2, -7, -6], [-1, 7], [-5, 2], [-3, 4, -1], [6, -4, 5], [-3, -5], [-5, -7], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.3365919728893251,25,2.2142857142857144,0.18131868131868134,set(),[],"{4, -1}",2,0,0,4,True,False,"{3, 4}",2,0,0,True,True,12,[set()],0,{4},"{3, 4}",[{4}],"[0, 0.9879285714285714, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,2,2,0,1,1,5,[],"[{4, -1}, {3, 4}, {3, 4}]","[{4}, {4}, {4}]",6,"{({-1}, {3, 5, -1, 7}), ({4}, {3, 4})}"
StandardModel,"[[2, -7, -6], [-1, 7], [-5, 2], [-3, 4, -1], [6, -4, 5], [-3, -5], [-5, -7], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.3365919728893251,25,2.2142857142857144,0.18131868131868134,set(),[],"{-6, 5, -2}",3,0,0,6,True,False,"{3, 5, -2}",3,0,0,True,True,12,[set()],0,{-2},"{3, 5, -2}","[{-7, 6}, {-2}]","[0, 0.9879285714285714, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,2,2,0,1,1,5,[],"[{-6, 5, -2}, {3, 5, -2}, {3, 5, -2}]","[{-2}, {-2}, {-2}]",6,"{({-2}, {3, 5, -2})}"
StandardModel,"[[-4, 2], [7, 6, -4], [1, 3, -2], [-7, -4, 1], [-5, 1, -7], [-2, 5], [-1, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.25579237633872143,37,2.2857142857142856,0.2197802197802198,set(),[],"{4, -1}",2,0,0,12,True,False,{4},1,0,0,True,True,23,[set()],0,{4},{4},"[{1, 3}, {4}, {-2}, {-7, 3}, {-7, -1}]","[0, 0.9928571428571428, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[],"[{4, -1}, {4}, {4}]","[{4}, {4}, {4}]",6,"{({-1}, {2, -1}), ({-2}, {1, 4, 5, -2}), ({4}, {4})}"
StandardModel,"[[-4, 2], [7, 6, -4], [1, 3, -2], [-7, -4, 1], [-5, 1, -7], [-2, 5], [-1, 2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.25579237633872143,37,2.2857142857142856,0.2197802197802198,set(),[],"{-6, 5, -2}",3,0,0,4,True,False,"{1, 4, 5, -2}",4,0,0,True,True,6,[set()],0,{-2},"{1, 4, 5, -2}","[{1, 3}, {-2}]","[0, 0.9817142857142857, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,3,3,0,2,1,4,[],"[{-6, 5, -2}, {1, 4, 5, -2}, {1, 4, 5, -2}]","[{-2}, {-2}, {-2}]",6,"{({-2}, {1, 4, 5, -2})}"
StandardModel,"[[7, -5], [1, 4, -7], [6, -3, 1], [2, -4], [6, 1, -4], [1, -4], [-6, 1, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.21544955766718932,45,2.2857142857142856,0.2197802197802198,set(),[],"{4, -1}",2,0,0,9,True,False,"{4, -1, -2}",3,0,0,True,True,9,[set()],0,{4},"{4, -1, -2}",[{4}],"[0, 0.9993571428571428, 1.0, 1.0, 1.0, 1.0]",True,1,1,0,1,0,6,[],"[{4, -1}, {4, -1, -2}, {4, -1, -2}]","[{4}, {4}, {4}]",6,"{({4}, {4, -1, -2})}"
StandardModel,"[[7, -5], [1, 4, -7], [6, -3, 1], [2, -4], [6, 1, -4], [1, -4], [-6, 1, 3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.21544955766718932,45,2.2857142857142856,0.2197802197802198,set(),[],"{-6, 5, -2}",3,0,0,5,True,False,{-6},1,0,0,True,True,24,[set()],0,{-6},{-6},"[{4, -3}, {-6}, {-3, -1}]","[0, 0.9714285714285714, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[1],"[{-6, 5, -2}, {-6}, {-6}]","[{-6}, {-6}, {-6}]",6,"{({-6}, {-6}), ({-2}, {-2}), ({4}, {4, -1, -2}), ({5}, {-7, 5})}"
StandardModel,"[[-5, -6, -2], [-3, 5], [7, -6], [1, -4, -6], [-5, -4, -2], [4, 3], [-1, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.32850861169412976,26,2.2142857142857144,0.18131868131868134,set(),[],"{4, -1}",2,0,0,0,False,,"{1, 3, 4}",3,0,0,True,True,10,[set()],0,{4},"{1, 3, 4}","[{1, 6}, {-5, 6}, {4}, {2, -5}, {3, 6}]","[0, 0.9879285714285714, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,3,2,1,1,0,5,[],"[{4, -1}, {1, 3, 4}, {1, 3, 4}]","[{4}, {4}, {4}]",6,"{({4}, {1, 3, 4}), ({-1}, {-3, -4, 5, -1})}"
StandardModel,"[[-5, -6, -2], [-3, 5], [7, -6], [1, -4, -6], [-5, -4, -2], [4, 3], [-1, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.32850861169412976,26,2.2142857142857144,0.18131868131868134,set(),[],"{-6, 5, -2}",3,0,0,8,True,True,{-2},1,0,0,True,True,15,[set()],0,{-2},{-2},"[{-2}, {-5, -4}, {-5, 7}, {-6, -5}]","[0, 0.9714285714285714, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[1],"[{-6, 5, -2}, {-2}, {-2}]","[{-2}, {-2}, {-2}]",6,"{({7}, {-6, 7}), ({-2}, {-2}), ({-3}, {-3, -4, 5}), ({-6}, {-6}), ({5}, {5}), ({-1}, {-3, -4, 5, -1})}"
StandardModel,"[[4, -5], [7, -4], [-6, -3, 7], [2, -3], [1, -2], [-5, -7, 4], [-5, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.2922576699447322,31,2.142857142857143,0.13186813186813187,set(),[],"{4, -1}",2,0,0,3,True,False,{-1},1,0,0,True,True,17,[set()],0,{-1},{-1},"[{2}, {-1}]","[0, 0.9928571428571428, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[],"[{4, -1}, {-1}, {-1}]","[{-1}, {-1}, {-1}]",6,"{({-1}, {-1}), ({2}, {2, 5, -4, -3, -1}), ({4}, {-7, -5, 4, -2})}"
StandardModel,"[[4, -5], [7, -4], [-6, -3, 7], [2, -3], [1, -2], [-5, -7, 4], [-5, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.2922576699447322,31,2.142857142857143,0.13186813186813187,set(),[],"{-6, 5, -2}",3,0,0,6,True,False,{-6},1,0,0,True,True,13,[set()],0,{-6},{-6},[{-6}],"[0, 0.9714285714285714, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[1],"[{-6, 5, -2}, {-6}, {-6}]","[{-6}, {-6}, {-6}]",6,"{({-2}, {-2}), ({-6}, {-6}), ({1}, {1, -2}), ({5}, {-4, 5}), ({-5}, {-5, -2}), ({3}, {3, -2}), ({2}, {2, 5, -4, -3, -1}), ({4}, {-7, -5, 4, -2})}"
StandardModel,"[[5, -3, 7], [-1, 3], [-4, -2, 5], [6, 2], [-6, -7], [-3, 7], [4, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.3825817007303768,20,2.142857142857143,0.13186813186813187,set(),[],"{4, -1}",2,0,0,2,True,False,"{3, -1}",2,0,0,True,True,9,[set()],0,{-1},"{3, -1}",[{-1}],"[0, 0.9879285714285714, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,2,2,0,1,1,5,[],"[{4, -1}, {3, -1}, {3, -1}]","[{-1}, {-1}, {-1}]",6,"{({4}, {3, 4, -7, -6, -2}), ({-1}, {3, -1})}"
StandardModel,"[[5, -3, 7], [-1, 3], [-4, -2, 5], [6, 2], [-6, -7], [-3, 7], [4, -2], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.3825817007303768,20,2.142857142857143,0.13186813186813187,set(),[],"{-6, 5, -2}",3,0,0,4,True,False,"{-7, -6, 3, -2}",4,0,0,True,True,6,[set()],0,{-2},"{-7, -6, 3, -2}","[{4}, {-2}]","[0, 0.9817142857142857, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,3,3,0,2,1,4,[],"[{-6, 5, -2}, {-7, -6, 3, -2}, {-7, -6, 3, -2}]","[{-2}, {-2}, {-2}]",6,"{({4}, {3, 4, -7, -6, -2}), ({-2}, {-7, -6, 3, -2})}"
StandardModel,"[[-6, -4, 7], [2, 4], [3, 1, -2], [-5, 3], [-3, -4, 1], [4, 2, 7], [-7, -6, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7]]",7,14,0.22481932075684316,43,2.357142857142857,0.24725274725274726,set(),[],"{4, -1}",2,0,0,16,True,True,{-1},1,0,0,True,True,22,[set()],0,{-1},{-1},"[{2, 3}, {2, -5}, {-1}]","[0, 0.9928571428571428, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[1],"[{4, -1}, {-1}, {-1}]","[{-1}, {-1}, {-1}]",6,"{({-1}, {-1}), ({4}, {4}), ({2}, {2, 4, 7})}"
